method,t_merge,t_new,series,n,d,rate
proposed,0.5,0.3,false_merge_rate,6,132,0.045454545454545456
proposed,0.5,0.3,ask_user_identity_rate,22,132,0.16666666666666666
proposed,0.5,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.55,0.3,false_merge_rate,6,132,0.045454545454545456
proposed,0.55,0.3,ask_user_identity_rate,22,132,0.16666666666666666
proposed,0.55,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.6,0.3,false_merge_rate,6,132,0.045454545454545456
proposed,0.6,0.3,ask_user_identity_rate,22,132,0.16666666666666666
proposed,0.6,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.65,0.3,false_merge_rate,6,132,0.045454545454545456
proposed,0.65,0.3,ask_user_identity_rate,23,132,0.17424242424242425
proposed,0.65,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.7,0.3,false_merge_rate,4,132,0.030303030303030304
proposed,0.7,0.3,ask_user_identity_rate,27,132,0.20454545454545456
proposed,0.7,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.75,0.3,false_merge_rate,2,132,0.015151515151515152
proposed,0.75,0.3,ask_user_identity_rate,33,132,0.25
proposed,0.75,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.8,0.3,false_merge_rate,1,132,0.007575757575757576
proposed,0.8,0.3,ask_user_identity_rate,79,132,0.5984848484848485
proposed,0.8,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.85,0.3,false_merge_rate,1,132,0.007575757575757576
proposed,0.85,0.3,ask_user_identity_rate,96,132,0.7272727272727273
proposed,0.85,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.9,0.3,false_merge_rate,1,132,0.007575757575757576
proposed,0.9,0.3,ask_user_identity_rate,105,132,0.7954545454545454
proposed,0.9,0.3,miss_rate,1,132,0.007575757575757576
proposed,0.95,0.3,false_merge_rate,1,132,0.007575757575757576
proposed,0.95,0.3,ask_user_identity_rate,114,132,0.8636363636363636
proposed,0.95,0.3,miss_rate,1,132,0.007575757575757576
exact_raw,0.5,0.3,false_merge_rate,0,132,0.0
exact_raw,0.5,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.5,0.3,miss_rate,33,132,0.25
exact_raw,0.55,0.3,false_merge_rate,0,132,0.0
exact_raw,0.55,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.55,0.3,miss_rate,33,132,0.25
exact_raw,0.6,0.3,false_merge_rate,0,132,0.0
exact_raw,0.6,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.6,0.3,miss_rate,33,132,0.25
exact_raw,0.65,0.3,false_merge_rate,0,132,0.0
exact_raw,0.65,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.65,0.3,miss_rate,33,132,0.25
exact_raw,0.7,0.3,false_merge_rate,0,132,0.0
exact_raw,0.7,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.7,0.3,miss_rate,33,132,0.25
exact_raw,0.75,0.3,false_merge_rate,0,132,0.0
exact_raw,0.75,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.75,0.3,miss_rate,33,132,0.25
exact_raw,0.8,0.3,false_merge_rate,0,132,0.0
exact_raw,0.8,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.8,0.3,miss_rate,33,132,0.25
exact_raw,0.85,0.3,false_merge_rate,0,132,0.0
exact_raw,0.85,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.85,0.3,miss_rate,33,132,0.25
exact_raw,0.9,0.3,false_merge_rate,0,132,0.0
exact_raw,0.9,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.9,0.3,miss_rate,33,132,0.25
exact_raw,0.95,0.3,false_merge_rate,0,132,0.0
exact_raw,0.95,0.3,ask_user_identity_rate,2,132,0.015151515151515152
exact_raw,0.95,0.3,miss_rate,33,132,0.25
exact_norm,0.5,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.5,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.5,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.55,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.55,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.55,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.6,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.6,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.6,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.65,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.65,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.65,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.7,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.7,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.7,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.75,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.75,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.75,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.8,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.8,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.8,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.85,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.85,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.85,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.9,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.9,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.9,0.3,miss_rate,20,132,0.15151515151515152
exact_norm,0.95,0.3,false_merge_rate,4,132,0.030303030303030304
exact_norm,0.95,0.3,ask_user_identity_rate,6,132,0.045454545454545456
exact_norm,0.95,0.3,miss_rate,20,132,0.15151515151515152
embedding_only,0.5,0.3,false_merge_rate,6,132,0.045454545454545456
embedding_only,0.5,0.3,ask_user_identity_rate,19,132,0.14393939393939395
embedding_only,0.5,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.55,0.3,false_merge_rate,3,132,0.022727272727272728
embedding_only,0.55,0.3,ask_user_identity_rate,22,132,0.16666666666666666
embedding_only,0.55,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.6,0.3,false_merge_rate,1,132,0.007575757575757576
embedding_only,0.6,0.3,ask_user_identity_rate,25,132,0.1893939393939394
embedding_only,0.6,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.65,0.3,false_merge_rate,1,132,0.007575757575757576
embedding_only,0.65,0.3,ask_user_identity_rate,27,132,0.20454545454545456
embedding_only,0.65,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.7,0.3,false_merge_rate,0,132,0.0
embedding_only,0.7,0.3,ask_user_identity_rate,29,132,0.2196969696969697
embedding_only,0.7,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.75,0.3,false_merge_rate,0,132,0.0
embedding_only,0.75,0.3,ask_user_identity_rate,30,132,0.22727272727272727
embedding_only,0.75,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.8,0.3,false_merge_rate,0,132,0.0
embedding_only,0.8,0.3,ask_user_identity_rate,31,132,0.23484848484848486
embedding_only,0.8,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.85,0.3,false_merge_rate,0,132,0.0
embedding_only,0.85,0.3,ask_user_identity_rate,31,132,0.23484848484848486
embedding_only,0.85,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.9,0.3,false_merge_rate,0,132,0.0
embedding_only,0.9,0.3,ask_user_identity_rate,38,132,0.2878787878787879
embedding_only,0.9,0.3,miss_rate,1,132,0.007575757575757576
embedding_only,0.95,0.3,false_merge_rate,0,132,0.0
embedding_only,0.95,0.3,ask_user_identity_rate,43,132,0.32575757575757575
embedding_only,0.95,0.3,miss_rate,1,132,0.007575757575757576
llm_single,0.5,0.3,false_merge_rate,0,132,0.0
llm_single,0.5,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.5,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.55,0.3,false_merge_rate,0,132,0.0
llm_single,0.55,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.55,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.6,0.3,false_merge_rate,0,132,0.0
llm_single,0.6,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.6,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.65,0.3,false_merge_rate,0,132,0.0
llm_single,0.65,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.65,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.7,0.3,false_merge_rate,0,132,0.0
llm_single,0.7,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.7,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.75,0.3,false_merge_rate,0,132,0.0
llm_single,0.75,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.75,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.8,0.3,false_merge_rate,0,132,0.0
llm_single,0.8,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.8,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.85,0.3,false_merge_rate,0,132,0.0
llm_single,0.85,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.85,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.9,0.3,false_merge_rate,0,132,0.0
llm_single,0.9,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.9,0.3,miss_rate,10,132,0.07575757575757576
llm_single,0.95,0.3,false_merge_rate,0,132,0.0
llm_single,0.95,0.3,ask_user_identity_rate,19,132,0.14393939393939395
llm_single,0.95,0.3,miss_rate,10,132,0.07575757575757576
